V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60
3.4,4.2,2.6,4.2,2.6,2.6,4.2,2.6,3.4,4.2,4.2,3.4,3.4,4.2,5,3.4,5,3.4,1.8,2.6,2.6,2.6,4.2,3.4,5,2.6,4.2,3.4,2.6,2.6,4.2,1.8,3.4,4.2,4.2,4.2,2.6,4.2,2.6,4.2,4.2,4.2,4.2,2.6,4.2,4.2,2.6,3.4,2.6,4.2,1.8,4.2,2.6,3.4,4.2,4.2,1.8,4.2,2.6,4.2
0.0064,0.5184,0.7744,0.5184,0.7744,0.7744,0.5184,0.7744,0.0064,0.5184,0.5184,0.0064,0.0064,0.5184,2.3104,0.0064,2.3104,0.0064,2.8224,0.7744,0.7744,0.7744,0.5184,0.0064,2.3104,0.7744,0.5184,0.0064,0.7744,0.7744,0.5184,2.8224,0.0064,0.5184,0.5184,0.5184,0.7744,0.5184,0.7744,0.5184,0.5184,0.5184,0.5184,0.7744,0.5184,0.5184,0.7744,0.0064,0.7744,0.5184,2.8224,0.5184,0.7744,0.0064,0.5184,0.5184,2.8224,0.5184,0.7744,0.5184
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sum,208.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
median,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mode,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,0.752813559,,44.416,Sum of (x-mean)^2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.867648292,,59,n - 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
